basin,tier,log_resid_var,signed_coverage_error
02408540,humid,0.1330351084470749,0.0642088793272052
02415000,humid,0.1853972673416137,0.01374926657539599
02422500,humid,0.0974112227559089,0.09139448464697841
02427250,humid,5.747020721435547,-0.020086055153530236
02430085,humid,0.3468022644519806,0.08181106982202235
02430615,humid,0.1929172277450561,0.08406771222305198
02450250,humid,0.4002439379692077,0.01531390573049074
02464000,humid,4.524226665496826,0.002014472912184595
02464146,humid,0.2072915285825729,0.07887737140621942
02464360,humid,0.1441793590784073,0.08924310580872274
02465493,humid,0.1244435682892799,0.09432818306278112
02469800,humid,0.3048842549324035,0.004361431644826941
02472000,humid,0.1904233992099762,0.08083317035008797
02472500,humid,0.2819384932518005,0.0911989047525914
02479155,humid,0.2400541603565216,0.023528261294738728
02479300,humid,0.1479263305664062,0.09608840211226277
02479560,humid,0.1557270288467407,0.09276354390768637
02481000,humid,0.5737504959106445,-0.06604733033444166
02481510,humid,0.2243554145097732,0.08141991003324855
03010655,humid,0.248459905385971,0.087678466653628
03011800,humid,0.1860176920890808,0.09100332485820439
03015500,humid,0.1702484637498855,0.09237238411891258
03021350,humid,0.2501268684864044,0.0679248973205554
03026500,humid,0.2985659539699554,0.0800508507725406
03028000,humid,0.162128672003746,0.09471934285155481
03049000,humid,1.7044821977615356,0.046411108938001155
03049800,humid,1.7482696771621704,-0.022041854097398783
03050000,humid,0.3513984978199005,0.010291343533850417
03066000,humid,0.2569427490234375,0.08922503108164115
03069500,humid,0.1133762896060943,0.09456635318704276
03070500,humid,0.8859122395515442,0.07680198840099417
03076600,humid,0.2715876400470733,0.049540387248190765
03078000,humid,0.3568085134029388,0.03917465284568755
03140000,humid,0.2644548416137695,0.05677684334050459
03144000,humid,0.1789934337139129,0.08533150792098554
03159540,humid,0.7844162583351135,-0.09284177586544107
03161000,humid,0.0404921993613243,0.09980442010561319
03164000,humid,0.0657587498426437,0.09999999999999998
03165000,humid,0.0967527106404304,0.09628398200664956
03170000,humid,0.0682594254612922,0.09902210052806559
03173000,humid,0.1315672248601913,0.09217680422452557
03180500,humid,0.3804681897163391,0.060092417559336364
03182500,humid,0.1444449722766876,0.08891677122542863
03186500,humid,0.2887050211429596,0.05337654191929753
03187500,humid,0.3042290806770324,0.06717541292076101
03213700,humid,0.2122981548309326,0.09265939597315442
03237280,humid,1.1881526708602903,-0.24206923528261293
03237500,humid,0.6483861804008484,-0.12315665949540389
03238500,humid,7.200138568878174,-0.12036363636363634
03241500,humid,1.6021552085876465,0.04836690788186959
03280700,humid,0.2802520990371704,-0.0764953664700927
03281100,humid,0.4023467302322387,0.001429875266200198
03281500,humid,0.2612371444702148,0.005433866891322747
03285000,humid,0.7533516883850098,-0.21760741364785174
03291780,humid,1.8611459732055664,-0.20119303735575989
03300400,humid,1.1307930946350098,-0.10858524788391777
03338780,humid,1.352818250656128,0.0409348718951692
03340800,humid,0.8248628377914429,0.039545549301646776
03346000,humid,4.972590923309326,-0.04922745941717188
03357350,humid,1.2000114917755127,-0.09620517097581316
03364500,humid,0.9338956475257874,-0.13357203032855947
03366500,humid,2.719074010848999,-0.13650282030620464
03368000,humid,9.867493629455566,-0.31994147157190633
03384450,humid,4.953482151031494,-0.16285937805593587
03439000,humid,0.0463344790041446,0.09863094073929202
03450000,humid,0.1725452691316604,0.0718364952082926
03455500,humid,0.1380387097597122,0.08865636612556238
03456500,humid,0.0869994759559631,0.09628398200664956
03460000,humid,0.0724231526255607,0.09667514179542336
03463300,humid,0.1065093278884887,0.0949149227459416
03471500,humid,0.14577317237854,0.08102875024447476
