tier,mean_width,mean_log_width
humid,0.620191781401471,0.7436835240261582
humid,1.2636539534188962,1.2158753396409518
humid,1.1571541013866051,1.182622401629925
humid,1.1991717876096335,1.1801239586076973
humid,1.0055710373414652,1.3054294304070864
humid,2.4540898993852864,2.3811412695310783
humid,122763.22937753286,1.7963972958057983
humid,1.6405211143190528,1.7453212314870945
humid,8690.851139815479,2.8698736532033364
humid,28211.335895723158,3.363463964383942
humid,18056.37753914609,2.8751767328893885
humid,3.15112554032808,2.7216701395889795
humid,22319.93460217112,4.519502474327692
humid,13709.168545737784,3.16007970910284
humid,12.233711274054958,4.967311048517017
semi_arid,26509827.434450787,21.408331010711414
humid,47951.49271783349,4.953101246785493
humid,4.185749959479307,3.086058103989277
humid,13853.385288605838,2.4169181054897
humid,448663.541636492,2.933715794153137
humid,9709.67832872386,2.219699524536819
humid,1.9334699916286304,2.136570904321594
humid,4.279507725787728,3.331161331668796
humid,505955.31766635855,7.201875580049601
humid,69602.75127609966,4.631816171559946
humid,4340478.965156787,11.795609455530176
humid,6.866980855761006,4.130143206855824
humid,12.404988145012004,4.6725650132110434
snow,0.4560405514943443,0.4213444925079648
snow,0.7664290931904221,0.7336485439052839
dry,0.5607982812398903,1.5613801993604195
snow,3.574056060386921,1.97651130374854
snow,1833111.4914531356,1.1117691013436717
snow,2.2289744758533683,1.603583526266267
snow,12259.831659363372,1.2140697987956728
snow,3.5429740753713337,2.0172881133025253
snow,1.588415085081774,1.074127575060917
snow,0.630287956432566,0.8445342274624239
snow,0.7421478741267622,1.2155170879684614
snow,1.1304947200262037,1.369843386132587
dry,443973.5362297932,6.406421707773684
dry,326780.70987024315,4.798207111422059
dry,451850.0968297331,7.006611366223478
dry,1188807.4129665575,14.3376828737742
dry,249997.6580643565,9.58683492194037
dry,191317.0245463838,9.0410101649674
dry,0.4003277293483111,2.993593745378046
dry,91239.12833167396,3.3392229079967044
dry,0.3775317726584664,2.709863476969597
dry,2661.266824851511,2.35082123619037
dry,0.1861571333189501,2.0534168369915067
semi_arid,0.6226430848902413,0.9228148458639563
dry,0.1886175458308374,1.0286463647352233
semi_arid,0.3853698430472499,1.3004454219618726
dry,0.3558726541052446,3.3277825208272622
dry,277634.86512269825,21.94688311915749
dry,0.2406522302350815,2.5877914013705
dry,0.1089434649557772,1.2312845864362174
dry,0.1093330632501063,1.0759097419907944
dry,53252.43319439753,2.542213073430545
semi_arid,0.5005855355896281,2.3961130002695312
dry,0.1331417473681881,1.2643311464947402
dry,0.4811040387645002,3.161148594802731
dry,1360.3814465633727,3.5873792544983614
semi_arid,38885.96315988831,3.8041204766427006
semi_arid,233330.6803837171,5.966795861546177
semi_arid,333438.481587338,3.782480561754229
semi_arid,70803.79570944996,2.9896068542688625
semi_arid,0.5375421573366965,1.4943714617936783
snow,3.9052662908296494,1.6272543290811767
snow,1.802827950745512,1.2423537905822872
snow,2.506005522598848,1.3551516714521334
snow,46440.7897023402,1.7857733631982695
snow,1880071.8256104372,2.1031349281403924
semi_arid,0.2060636296859581,1.1099121272039347
semi_arid,0.7772724225285811,2.527454321080869
semi_arid,39629.85454429721,2.309001231016349
semi_arid,1008607.4052425004,2.8739698475502533
dry,37003.991058861386,8.069260020976941
semi_arid,0.4711076006766517,3.0373733748714447
semi_arid,8885.835443946951,2.910189441102325
semi_arid,0.4678829532530492,1.7998420375679982
semi_arid,4293.999298067572,5.016246711907032
semi_arid,23690.208633708557,3.667945068478934
semi_arid,7732.114321475256,2.3165750473930067
semi_arid,94865.63357824089,4.958262711897443
semi_arid,84759.89768385494,4.319144186618252
humid,2209.105397638949,2.5390833285417718
humid,11811.238723789693,4.097725246508901
humid,8.38937766915568,4.413277641798497
semi_arid,252014.5883783633,4.688708591153424
semi_arid,400163.07580692135,4.511021797484492
humid,7.5742194944781,4.445875119631383
humid,1.5975798140029496,1.5697406207934623
humid,12.173847956254548,4.770316415718892
humid,5.335855995952419,3.326913102974566
humid,11.94099643189404,4.946084448206152
humid,1.5646612414077097,1.3404905578522632
humid,1.5653714605175584,1.4064568288634487
humid,3.506489584302217,2.1726759583801294
humid,1.7207195902206462,1.3698627949460431
humid,8.430166462944511,3.759272015540073
humid,1.0660872167974869,0.9060014463464224
humid,1.3377437959666498,0.9938137757085714
humid,1.5086434330057543,1.208134756217888
humid,1.1456818539768008,1.0949950858662092
snow,2.000611093513844,1.4414777382465112
dry,482.3244346288732,2.5471852522364524
semi_arid,2031711.0412306075,19.557396730844136
dry,0.3478130802662258,2.225312091449504
dry,0.2229555909797467,1.557652052358571
semi_arid,0.5574215749489599,1.996294013922304
humid,2834482.5791362347,17.851159423432332
semi_arid,3161262.4106365917,7.093422900480976
humid,372.802011355038,4.362919517396225
humid,2.752503263770823,1.8082323910414575
